,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,BTC-USD,3.3167421522184293e-05,7.0
1,ETC-USD,ZEC-USD,0.55418790705587,20.0
2,ETC-USD,LINK-USD,2.792815024259635,10.0
3,ETC-USD,BCH-USD,0.158151039923419,6.0
4,ETC-USD,CELO-USD,34.58567504965186,23.0
5,ETC-USD,RUNE-USD,15.829279121972304,18.0
6,ETC-USD,ZRX-USD,81.39533978929654,7.0
7,ETC-USD,YFI-USD,0.0027357202005382844,22.0
8,ETC-USD,COMP-USD,0.516474396632269,14.0
9,ETC-USD,XLM-USD,206.13035234594236,7.0
10,ETC-USD,NEAR-USD,11.126133954153406,12.0
11,ETC-USD,XMR-USD,0.11979962770142077,9.0
12,ETC-USD,DOT-USD,3.4029998755174447,9.0
13,ETC-USD,DOGE-USD,251.01319226131318,5.0
14,ETC-USD,LTC-USD,0.2032342635681594,19.0
15,ETC-USD,UNI-USD,3.5467890190278344,19.0
16,ZEC-USD,EOS-USD,37.4189016948777,5.0
17,LINK-USD,ATOM-USD,0.6108283789793331,10.0
18,LINK-USD,BCH-USD,0.056624104982238396,6.0
19,LINK-USD,YFI-USD,0.0009795682670546515,15.0
20,MKR-USD,FIL-USD,140.36310756957067,22.0
21,MKR-USD,EOS-USD,718.0076333136487,21.0
22,MKR-USD,XMR-USD,4.148090897591104,4.0
23,MKR-USD,ADA-USD,1707.472939498899,7.0
24,MKR-USD,BTC-USD,0.02329638888926628,7.0
25,MKR-USD,ETH-USD,0.3443189281884921,12.0
26,ATOM-USD,RUNE-USD,9.278304348621926,10.0
27,ATOM-USD,EOS-USD,12.154431614876218,15.0
28,ATOM-USD,SOL-USD,0.5256438852863655,23.0
29,BCH-USD,CELO-USD,218.6877261901653,18.0
30,BCH-USD,RUNE-USD,100.08819634263114,12.0
31,BCH-USD,YFI-USD,0.017298464159849793,12.0
32,BCH-USD,NEAR-USD,70.3502201895582,8.0
33,BCH-USD,1INCH-USD,286.4103798670885,12.0
34,BCH-USD,AVAX-USD,7.858977121564614,10.0
35,ENJ-USD,UNI-USD,0.06611950449390433,9.0
36,FIL-USD,ETH-USD,0.0024527794935260507,11.0
37,ZRX-USD,SOL-USD,0.011015632639248768,21.0
38,COMP-USD,XLM-USD,399.01910843258065,16.0
39,COMP-USD,ADA-USD,95.47047675326624,7.0
40,COMP-USD,DOT-USD,6.58788506801662,10.0
41,XLM-USD,EOS-USD,0.10059874693239898,24.0
42,EOS-USD,SOL-USD,0.04323876872001043,15.0
43,XMR-USD,ADA-USD,411.6126315568148,9.0
44,XMR-USD,BTC-USD,0.0056159783017161015,11.0
45,XMR-USD,ETH-USD,0.08300403979425913,16.0
46,ADA-USD,BTC-USD,1.3642948588203857e-05,5.0
47,ADA-USD,SOL-USD,0.018183042463679303,24.0
48,DOGE-USD,LTC-USD,0.0008097163137960365,17.0
49,DOGE-USD,UNI-USD,0.014130144658945902,10.0
50,LTC-USD,UNI-USD,17.440887663914758,18.0
